id	name	domain	start	end
WP_106363067.1	Glycomyces artemisiae	Full Protein	1	446
WP_106363067.1	Glycomyces artemisiae	CBM2	44	138
WP_106363067.1	Glycomyces artemisiae	Expansin	299	437
XP_001257521.1	Aspergillus fischeri	Full Protein	1	479
XP_001257521.1	Aspergillus fischeri	CBM1	24	49
XP_001257521.1	Aspergillus fischeri	Expansin	253	450
XP_013944337.1	Trichoderma atroviride IMI 206040	Full Protein	1	493
XP_013944337.1	Trichoderma atroviride IMI 206040	CBM1	25	51
XP_013944337.1	Trichoderma atroviride IMI 206040	Expansin	341	492
XP_013954982.1	Trichoderma virens Gv29-8	Full Protein	1	491
XP_013954982.1	Trichoderma virens Gv29-8	CBM1	25	51
XP_013954982.1	Trichoderma virens Gv29-8	Expansin	249	490
ASK23966.1	Bacillus subtilis	Full Protein	1	206
ASK23966.1	Bacillus subtilis	Expansin	1	206
EGZ29134.1	Phytophthora sojae	Full Protein	1	204
EGZ29134.1	Phytophthora sojae	Expansin	37	183
EGC39116.1	Dictyostelium purpureum	Full Protein	1	209
EGC39116.1	Dictyostelium purpureum	Expansin	2	187
WP_012349372.1	Leptothrix cholodnii	Full Protein	1	197
WP_012349372.1	Leptothrix cholodnii	Expansin	2	182
WP_010459029.1	Acidovorax radicis	Full Protein	1	198
WP_010459029.1	Acidovorax radicis	Expansin	4	198
SET81495.1	Myxococcus fulvus	Full Protein	1	197
SET81495.1	Myxococcus fulvus	Expansin	7	196
ASN85731.1	Pectobacterium carotovorum	Full Protein	1	203
ASN85731.1	Pectobacterium carotovorum	Expansin	2	203
EOS92802.1	Erwinia tracheiphila	Full Protein 1	1	208
EOS92802.1	Erwinia tracheiphila	Expansin	7	207
EOS92802.1	Erwinia tracheiphila	Full Protein 2	224	539
EOS92802.1	Erwinia tracheiphila	GH5	224	539
WP_044243227.1	Pantoea stewartii	Full Protein 1	1	207
WP_044243227.1	Pantoea stewartii	Expansin	7	206
WP_044243227.1	Pantoea stewartii	Full Protein 2	223	538
WP_044243227.1	Pantoea stewartii	GH5	223	538
SFH05604.1	Streptomyces mirabilis	Full Protein	1	199
SFH05604.1	Streptomyces mirabilis	Expansin	4	177
XP_015403425.1	Aspergillus nomius NRRL 13137	Full Protein	1	201
XP_015403425.1	Aspergillus nomius NRRL 13137	Expansin	4	182
XP_014534220.1	Penicillium digitatum Pd1	Full Protein	1	201
XP_014534220.1	Penicillium digitatum Pd1	Expansin	7	183
CRG87221.1	Talaromyces islandicus	Full Protein	1	188
CRG87221.1	Talaromyces islandicus	Expansin	24	187
